Text name: results/ant_ppo_headingCoef1e-04_maxSec6_batchSize100.txt
[0/10000](#total:100) sumRwd:[-79.015](cntct:-0.059+ctrl:-110.665+fwd:-2.673+head:-25.288+srv:59.670) tickAvg:[59]
  [eval] sumRwd:[-76.249](cntct:-0.058+ctrl:-108.560+fwd:-6.218+head:-20.603+srv:59.190) tickAvg:[59]
[1/10000](#total:200) sumRwd:[-73.626](cntct:-0.058+ctrl:-105.539+fwd:-3.010+head:-23.159+srv:58.140) tickAvg:[58]
  [eval] sumRwd:[-81.669](cntct:-0.063+ctrl:-113.402+fwd:-2.285+head:-27.850+srv:61.930) tickAvg:[61]
[2/10000](#total:300) sumRwd:[-82.258](cntct:-0.061+ctrl:-111.698+fwd:-6.317+head:-24.522+srv:60.340) tickAvg:[60]
  [eval] sumRwd:[-86.294](cntct:-0.067+ctrl:-117.984+fwd:-6.317+head:-26.446+srv:64.520) tickAvg:[64]
[3/10000](#total:400) sumRwd:[-91.556](cntct:-0.067+ctrl:-123.291+fwd:-6.782+head:-28.876+srv:67.460) tickAvg:[67]
  [eval] sumRwd:[-75.213](cntct:-0.061+ctrl:-111.354+fwd:0.596+head:-25.104+srv:60.710) tickAvg:[60]
[4/10000](#total:500) sumRwd:[-88.980](cntct:-0.066+ctrl:-120.102+fwd:-4.201+head:-29.390+srv:64.780) tickAvg:[64]
  [eval] sumRwd:[-91.661](cntct:-0.067+ctrl:-120.010+fwd:-4.122+head:-33.063+srv:65.600) tickAvg:[65]
[5/10000](#total:600) sumRwd:[-82.300](cntct:-0.058+ctrl:-112.625+fwd:-2.860+head:-28.338+srv:61.580) tickAvg:[61]
  [eval] sumRwd:[-87.960](cntct:-0.063+ctrl:-115.714+fwd:-6.466+head:-29.508+srv:63.790) tickAvg:[63]
[6/10000](#total:700) sumRwd:[-77.062](cntct:-0.059+ctrl:-106.886+fwd:-1.789+head:-27.348+srv:59.020) tickAvg:[59]
  [eval] sumRwd:[-78.169](cntct:-0.062+ctrl:-104.995+fwd:-4.477+head:-26.175+srv:57.540) tickAvg:[57]
